ano,uf,sq_candidato,nome,cargo,partido,documentos,reviewed_documents,pending_documents,positive_documents,numbered_processes,records_without_number,provisional_processes,has_reviewed_record_preliminary
2026,AC,10002532416,ADGICLEIA DOS SANTOS GUIMARÃES,DEPUTADO FEDERAL,MDB,1,0,0,0,0,0,0,False
2026,AC,10002532418,JOZINEY ALVES AMORIM,DEPUTADO FEDERAL,MDB,2,2,0,1,1,0,0,True
2026,AC,10002532421,VAGNER JOSÉ SALES,DEPUTADO FEDERAL,MDB,1,0,0,0,0,0,0,False
2026,AC,10002532489,ROBERTO DUARTE JUNIOR,DEPUTADO FEDERAL,REPUBLICANOS,1,1,0,0,0,0,0,False
2026,AC,10002533896,RAIMUNDO NONATO MOREIRA DA SILVA,1º SUPLENTE,REPUBLICANOS,2,0,0,0,0,0,0,False
2026,AC,10002533995,MARIA HORLEIZIA DE OLIVEIRA,DEPUTADO ESTADUAL,NOVO,2,0,0,0,0,0,0,False
2026,AC,10002534775,ANTONIO PEDRO MENDONÇA,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002534776,MARIA ELIZABETE DE OLIVEIRA LIMA,DEPUTADO ESTADUAL,PSD,2,1,0,0,0,0,0,False
2026,AC,10002534778,MAYCON MOREIRA DA SILVA,DEPUTADO ESTADUAL,PSD,2,1,0,0,0,0,0,False
2026,AC,10002534779,JOELSO DOS SANTOS PONTES,DEPUTADO ESTADUAL,PSD,2,1,0,0,0,0,0,False
2026,AC,10002534781,JOZIMILDO GOMES DA SILVA,DEPUTADO ESTADUAL,PSD,2,2,0,0,0,0,0,False
2026,AC,10002534783,ELTER DE QUEIROZ NOBREGA,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002534784,JAILSON PONTES DE AMORIM,DEPUTADO ESTADUAL,PSD,2,1,0,0,0,0,0,False
2026,AC,10002534785,JAMYL ASFURY MARTINS OLIVEIRA,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002534786,MOISÉS DINIZ LIMA,DEPUTADO ESTADUAL,PSD,2,1,0,0,0,0,0,False
2026,AC,10002534787,LUELI FIESCA FERREIRA,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002534788,FRANCISCO DE PAIVA MELO JUNIOR,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002534790,PAULO JEAN DA SILVA XIMENES,DEPUTADO ESTADUAL,PSD,2,1,0,0,0,0,0,False
2026,AC,10002534791,JEFRSON DA SILVA MENDONCA,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002534792,DANIEL DORZILA DE OLIVEIRA,DEPUTADO ESTADUAL,PSD,2,1,0,0,0,0,0,False
2026,AC,10002534793,BRUNA FERNANDES DIAS,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002534794,MARILETE VITORINO DE SIQUEIRA,DEPUTADO ESTADUAL,PSD,2,0,0,0,0,0,0,False
2026,AC,10002536298,DAIANE FONTINELE COELHO,DEPUTADO FEDERAL,AVANTE,1,0,0,0,0,0,0,False
2026,AC,10002536299,NAUAN DA COSTA ARAGÃO FREIRES,DEPUTADO FEDERAL,AVANTE,1,1,0,0,0,0,0,False
2026,AC,10002536300,CLAUDEMIR VICENTE FERREIRA JUNIOR PARFAN,DEPUTADO FEDERAL,AVANTE,1,0,0,0,0,0,0,False
2026,AC,10002536301,ROSA MARIA DE LIMA,DEPUTADO FEDERAL,AVANTE,1,0,0,0,0,0,0,False
2026,AC,10002536323,LICURGO TADEU DE SOUZA HASSEM,DEPUTADO ESTADUAL,REPUBLICANOS,2,1,0,0,0,0,0,False
2026,AC,10002536331,GENE GLENN DINIZ ANDRADE,DEPUTADO ESTADUAL,REPUBLICANOS,2,0,0,0,0,0,0,False
2026,AC,10002538356,VIRGÍLIO OLIVEIRA MACEDO NEVES VIANA,DEPUTADO FEDERAL,PV,1,1,0,0,0,0,0,False
2026,AC,10002544015,SEBASTIAO BOCALOM RODRIGUES,GOVERNADOR,PSDB,2,0,0,0,0,0,0,False
2026,AC,10002544016,ADONIS FRANCISCO DE ALMEIDA SOUZA,VICE-GOVERNADOR,PSDB,2,0,0,0,0,0,0,False
2026,AC,10002544018,PATRÍCIA PARENTE DE CARVALHO PASCOAL,DEPUTADO ESTADUAL,PSDB,1,0,0,0,0,0,0,False
2026,AC,10002544019,FRANCISCO BRIGIDO DA COSTA,DEPUTADO ESTADUAL,PSDB,2,1,0,0,0,0,0,False
2026,AC,10002544021,FRANCISCO SIDENELIO DE SOUZA PEDROSA,DEPUTADO ESTADUAL,PSDB,1,0,0,0,0,0,0,False
2026,AC,10002544022,GEORGIA CRISTINA HERNANDEZ MICHELETTI,DEPUTADO ESTADUAL,PSDB,2,0,0,0,0,0,0,False
2026,AC,10002544023,VALTEMIR EVANGELISTA DE SOUZA,DEPUTADO ESTADUAL,PSDB,2,0,0,0,0,0,0,False
2026,AC,10002544025,JOSE AGAMEDES OLIVEIRA DE SOUZA,DEPUTADO ESTADUAL,PSDB,6,2,0,1,1,0,0,True
2026,AC,10002544026,JOSE CAVALCANTE DAMASCENO JUNIOR,DEPUTADO ESTADUAL,PSDB,1,0,0,0,0,0,0,False
2026,AC,10002544028,SARA GALVÃO DIAS,DEPUTADO ESTADUAL,PSDB,2,1,0,0,0,0,0,False
2026,AC,10002544029,CARLOS LEANDRO DA COSTA SOUSA,DEPUTADO ESTADUAL,CIDADANIA,2,1,0,0,0,0,0,False
2026,AC,10002544030,MARIA ODETE OLIVEIRA DA CONCEICAO,DEPUTADO ESTADUAL,CIDADANIA,3,2,0,2,1,0,0,True
2026,AC,10002544032,ANTONIO SILVA LIMA,DEPUTADO ESTADUAL,PSDB,1,0,0,0,0,0,0,False
2026,AC,10002544034,ANTONIO JOSE DO NASCIMENTO,DEPUTADO ESTADUAL,CIDADANIA,1,1,0,0,0,0,0,False
2026,AC,10002544035,EMERSON LEÃO PEREIRA DA SILVA,DEPUTADO ESTADUAL,PSDB,1,1,0,0,0,0,0,False
2026,AC,10002544036,ANTONIO TORRES AMARAL,DEPUTADO ESTADUAL,PSDB,2,0,0,0,0,0,0,False
2026,AC,10002544037,RAIMUNDO NONATO SOUZA DOS SANTOS,DEPUTADO ESTADUAL,PSDB,1,0,0,0,0,0,0,False
2026,AC,10002544038,ANTONIO MARAZONA DE SOUZA NASCIMENTO,DEPUTADO ESTADUAL,CIDADANIA,2,1,0,0,0,0,0,False
2026,AC,10002544039,EDIGLEY DE SOUZA ROSENDO,DEPUTADO ESTADUAL,PSDB,3,0,0,0,0,0,0,False
2026,AC,10002544040,CRISTIANE DE SOUZA DA ROCHA,DEPUTADO ESTADUAL,CIDADANIA,1,1,0,0,0,0,0,False
2026,AC,10002544109,JANAINA SILVA DE ALMEIDA QUEIROZ,2º SUPLENTE,REDE,2,1,0,0,0,0,0,False
2026,AC,10002544110,INACIO ALVES MOREIRA NETTO,SENADOR,PSOL,2,1,0,0,0,0,0,False
2026,AC,10002544111,SOLEANE DE SOUZA BRASIL MANCHINERI,1º SUPLENTE,REDE,2,0,0,0,0,0,0,False
2026,AC,10002544277,JOÃO MARCOS DE SOUZA DA LUZ,DEPUTADO FEDERAL,PSDB,3,2,0,2,1,0,0,True
2026,AC,10002544278,FRANCISCO LEANDRO COSTA,DEPUTADO FEDERAL,CIDADANIA,1,0,0,0,0,0,0,False
2026,AC,10002544283,IRINEIA BARBOSA GOMES AIELO,DEPUTADO FEDERAL,PSDB,2,0,0,0,0,0,0,False
2026,AC,10002544284,ROGER CORREA DE OLIVEIRA,DEPUTADO FEDERAL,PSDB,1,1,0,0,0,0,0,False
2026,AC,10002544291,EDEN ALVES AZEVEDO,DEPUTADO FEDERAL,PL,1,0,0,0,0,0,0,False
2026,AC,10002544535,MARTA DE FIGUEIREDO,DEPUTADO ESTADUAL,UNIÃO,1,0,0,0,0,0,0,False
2026,AC,10002544595,ISAAC DA SILVA PIYÂKO,DEPUTADO ESTADUAL,PT,1,0,0,0,0,0,0,False
2026,AC,10002545230,LETICIA CRISTINE DA COSTA RIBEIRO,DEPUTADO FEDERAL,UNIÃO,1,0,0,0,0,0,0,False
2026,AC,10002545647,RAIANE SOARES DO Ó DIAS,DEPUTADO ESTADUAL,PL,1,0,0,0,0,0,0,False
2026,AC,10002545651,CHARLENE MARIA DE LIMA,DEPUTADO ESTADUAL,PL,3,1,0,1,1,0,0,True
2026,AC,10002545654,BENEDITO CAVALCANTE DAMASCENO,DEPUTADO ESTADUAL,PL,4,2,0,1,1,0,0,True
2026,AC,10002545655,RAIMUNDO NONATO FERREIRA DA SILVA,DEPUTADO ESTADUAL,PL,1,0,0,0,0,0,0,False
2026,AC,10002545659,GIOVANNI BADY CASSEB,DEPUTADO ESTADUAL,PL,2,2,0,0,0,0,0,False
2026,AC,10002545661,SERGIO LOPES DE SOUZA,DEPUTADO ESTADUAL,PL,2,0,0,0,0,0,0,False
2026,AC,10002545664,JOSÉ CARLOS MARTINEZ FEITOSA,DEPUTADO FEDERAL,PSOL,1,0,0,0,0,0,0,False
2026,AC,10002545665,RISOMALIA DE PAULA SOUZA,DEPUTADO FEDERAL,PSOL,1,0,0,0,0,0,0,False
2026,AC,10002545666,MARCOS ALEXANDRE DOS ANJOS,DEPUTADO FEDERAL,PSOL,1,1,0,0,0,0,0,False
2026,AC,10002545667,AMANDA SOUZA DA COSTA,DEPUTADO FEDERAL,PSOL,1,1,0,0,0,0,0,False
2026,AC,10002545668,JOSE DE SOUZA ROCHA,DEPUTADO FEDERAL,PSOL,1,1,0,0,0,0,0,False
2026,AC,10002548046,GLADSON DE LIMA CAMELÍ,SENADOR,PP,7,3,0,3,4,0,0,True
2026,AC,10002548047,LIVIO VERAS,2º SUPLENTE,PP,9,8,0,4,2,0,0,True
