fonte,tema_criminal_normalizado,relacoes_candidato_processo,processos_numerados_unicos,candidatos_distintos,documentos_distintos
revisado_mini,Causa criminal não informada,683,676,287,323
revisado_mini,Outros assuntos não normalizados,210,209,149,178
revisado_mini,Crimes contra a honra,163,161,113,144
revisado_mini,Violência doméstica e familiar,76,76,40,47
revisado_mini,Crimes de responsabilidade,59,54,25,36
revisado_mini,Ameaça,46,46,35,38
revisado_mini,Lesão corporal,46,46,29,30
revisado_mini,Crimes em licitações ou contratos públicos,41,40,24,34
revisado_mini,Crimes patrimoniais,39,39,34,37
revisado_mini,Estelionato ou outras fraudes,36,36,28,35
revisado_mini,Corrupção,31,31,23,29
revisado_mini,Crimes contra a administração pública,30,30,21,30
revisado_mini,Organização ou associação criminosa,25,25,20,22
revisado_mini,Improbidade administrativa — revisar natureza,22,22,15,16
revisado_mini,Peculato ou desvio de recursos públicos,19,19,15,16
revisado_mini,Lavagem ou ocultação de bens,16,16,13,15
revisado_mini,"Desobediência, desacato ou resistência",15,15,10,11
revisado_mini,Homicídio,14,14,9,13
revisado_mini,Falsidade ou uso de documento falso,12,12,12,12
revisado_mini,Crimes tributários ou previdenciários,11,11,10,11
revisado_mini,Crimes sexuais,10,10,8,9
revisado_mini,Drogas,7,7,6,6
revisado_mini,Armas,6,6,6,6
revisado_mini,Crimes ambientais,6,6,6,6
revisado_mini,Abuso de autoridade,5,5,4,4
revisado_mini,Discriminação ou intolerância,4,4,4,4
revisado_mini,Contrabando ou descaminho,3,3,3,3
