fonte,tipo_normalizado,relacoes_candidato_processo,processos_numerados_unicos,registros_sem_numero,candidatos_distintos,classes_originais_distintas
revisado_mini,Ação penal — procedimento ordinário,306,306,0,196,26
revisado_mini,Inquérito ou procedimento investigatório,277,276,1,144,23
revisado_mini,Outros procedimentos criminais,144,135,8,95,80
revisado_mini,Ação penal — procedimento sumaríssimo,89,89,0,54,4
revisado_mini,Queixa-crime / crimes contra a honra,86,85,0,71,27
revisado_mini,Recurso criminal,79,77,1,53,28
revisado_mini,Carta precatória ou de ordem criminal,66,66,0,26,14
revisado_mini,Ação penal — classe genérica ou especial,65,64,1,48,9
revisado_mini,Ação penal — procedimento sumário,63,63,0,51,7
revisado_mini,Termo circunstanciado / Juizado Especial Criminal,63,63,0,41,8
revisado_mini,Representação criminal ou notícia-crime,53,53,0,46,7
revisado_mini,Petição criminal,44,43,0,24,10
revisado_mini,Medida protetiva de urgência,40,40,0,27,11
revisado_mini,Execução penal ou da pena,36,36,0,27,13
revisado_mini,Ação penal do Tribunal do Júri,29,29,0,16,2
revisado_mini,Medida cautelar criminal,24,23,0,19,14
revisado_mini,Possível registro cível ou classificação indevida,16,16,0,10,6
revisado_mini,Classe não informada,11,10,1,9,1
revisado_mini,Habeas corpus criminal,3,3,0,1,1
